grupo,palabra1,palabra2,palabra3,palabra4
acción,hacer,realizar,ejecutar,desarrollar
expresión,decir,mencionar,expresar,afirmar
uso,usar,emplear,utilizar,aplicar
visión,ver,observar,notar,percibir
posesión,tener,poseer,contar con,disponer de
importancia,importante,relevante,significativo,esencial
problema,problema,dificultad,obstáculo,inconveniente
solución,solución,respuesta,alternativa,remedio
ayuda,ayudar,colaborar,apoyar,asistir
necesidad,necesario,imprescindible,obligatorio,indispensable
tamaño_grande,grande,amplio,extenso,considerable
tamaño_pequeño,pequeño,reducido,limitado,mínimo
valor_positivo,bueno,adecuado,positivo,favorable
valor_negativo,malo,negativo,inadecuado,perjudicial
logro,lograr,alcanzar,conseguir,obtener
explicación,explicar,aclarar,describir,detallar
mejora,mejorar,optimizar,perfeccionar,reforzar
cambio,cambiar,modificar,ajustar,transformar
causa,causa,motivo,origen,razón
efecto,efecto,resultado,consecuencia,impacto
rapidez,rápido,ágil,veloz,acelerado
lentitud,lento,pausado,despacio,tardío
novedad,nuevo,reciente,moderno,actual
antigüedad,viejo,antiguo,pasado,obsoleto
forma_expresiva,expresión,manifestación,declaración,enunciado
conocimiento,conocer,entender,comprender,saber
diferencia,diferente,distinto,variado,diverso
igualdad,igual,semejante,similar,equivalente
motivación,motivar,estimular,animar,impulsar
final,final,conclusión,término,desenlace
inicio,hacer,realizar,ejecutar,desarrollar
evaluación,decir,mencionar,expresar,afirmar
duda,usar,emplear,utilizar,aplicar
decisión,ver,observar,notar,percibir
observación,tener,poseer,contar con,disponer de
sentimiento,importante,relevante,significativo,esencial
lectura,problema,dificultad,obstáculo,inconveniente
escritura,solución,respuesta,alternativa,remedio
viaje,ayudar,colaborar,apoyar,asistir
alegría,feliz,contento,gozoso
tristeza,triste,melancólico,deprimido
hermoso,bello,atractivo,encantador,guapo,hermoso
feo,horrible,desagradable,espantoso,antiestético,feo
inteligente,listo,brillante,sagaz,perspicaz,inteligente
tonto,necio,torpe,bobo,lelo,tonto
fuerte,robusto,potente,resistente,musculoso,fuerte
débil,frágil,endeble,vulnerable,quebradizo,débil
alto,elevado,erguido,levantado,encumbrado,alto
bajo,corto,pequeño,chato,reducido,bajo
amable,cortés,simpático,educado,cordial,amable
antipático,grosero,desagradable,malhumorado,tosco,antipático
caliente,ardiente,cálido,sofocante,templado,caliente
frío,helado,fresco,gélido,congelado,frío
oscuro,tenebroso,sombrío,opaco,apagado,oscuro
claro,luminoso,brillante,iluminado,resplandeciente,claro
famoso,conocido,célebre,popular,renombrado,famoso
desconocido,anónimo,ignorado,extraño,incierto,desconocido
caro,costoso,elevado,exorbitante,inaccesible,caro
barato,económico,asequible,accesible,razonable,barato
ruidoso,bullicioso,escandaloso,estrepitoso,estridente,ruidoso
silencioso,callado,mudo,reservado,tranquilo,silencioso
difícil,complicado,complejo,laborioso,espinoso,difícil
fácil,sencillo,simple,claro,accesible,fácil
enfadado,molesto,enojado,irritado,indignado,enfadado
bonito,lindo,hermoso,bello,atractivo,bonito
malo,nefasto,terrible,malvado,desagradable,malo
bueno,noble,correcto,justo,bondadoso,bueno
viejo,antiguo,anciano,vetusto,arcaico,viejo
nuevo,reciente,moderno,actual,innovador,nuevo
sucio,mugriento,manchado,contaminado,abarrotado,sucio
limpio,aseado,pulcro,higiénico,impecable,limpio
valiente,intrépido,osado,audaz,bravo,valiente
cobarde,miedoso,temeroso,pusilánime,apocado,cobarde
largo,extenso,prolongado,alargado,prolijo,largo
corto,breve,reducido,escaso,conciso,corto
interesante,atractivo,fascinante,increíble,curioso,interesante
aburrido,monótono,pesado,tedioso,apático,aburrido
gordo,obeso,rechoncho,relleno,corpulento,gordo
flaco,delgado,esbelto,enjuto,escuálido,flaco
rico,acaudalado,adinerado,opulento,pudiente,rico
pobre,indigente,necesitado,humilde,menesteroso,pobre
amistad,compañerismo,hermandad,fraternidad,camaradería,amistad
amor,afecto,cariño,pasión,devoción,amor
odio,rencor,aversión,repulsión,animadversión,odio
mentira,engaño,falsedad,farsa,invención,mentira
verdad,certeza,realidad,exactitud,sinceridad,verdad
trabajo,empleo,ocupación,labor,profesión,trabajo
casa,hogar,vivienda,domicilio,residencia,casa
niño,infante,chiquillo,pequeño,crío,niño
mujer,dama,fémina,señora,chica,mujer
hombre,varón,caballero,macho,señor,hombre
día,jornada,mañana,claro,amanecer,día
noche,oscuridad,anochecer,crepúsculo,velada,noche
agua,líquido,h2o,vital líquido,fluido,agua
fuego,llama,incendio,combustión,fulgor,fuego
tierra,suelo,terreno,campo,superficie,tierra
aire,viento,brisa,gas,oxígeno,aire
cielo,firmamento,bóveda celeste,altura,paraíso,cielo
infierno,averno,abismo,hades,tártaro,infierno
peligroso,arriesgado,amenazante,riesgoso,inseguro,peligroso
seguro,estable,confiable,protegido,firme,seguro
enfermo,mal,delicado,débil,aquejado,enfermo
sano,saludable,fuerte,robusto,viguroso,sano
médico,doctor,galeno,facultativo,sanador,médico
maestro,profesor,educador,instructor,docente,maestro
estudiante,alumno,discípulo,aprendiz,escolar,estudiante
escuela,colegio,instituto,centro educativo,academia,escuela
porque,ya que,puesto que,dado que,debid o a que,porque
conector_unión, y, además, también, asimismo, incluso, más, junto con, aparte de, con
