grupo,palabra1,palabra2,palabra3,palabra4
ação,fazer,realizar,executar,desenvolver
expressão,dizer,mencionar,expressar,afirmar
uso,usar,empregar,utilizar,aplicar
visão,ver,observar,notar,perceber
posse,ter,possuir,manter,reter
importância,importante,relevante,significativo,essencial
problema,problema,dificuldade,obstáculo,impedimento
solução,solução,resposta,alternativa,remédio
ajuda,ajudar,colaborar,apoiar,assistir
necessidade,necessário,essencial,obrigatório,imprescindível
grande,grande,amplo,extenso,considerável
pequeno,pequeno,reduzido,mínimo,limitado
positivo,bom,adequado,positivo,favorável
valor,ruim,negativo,prejudicial,inadequado
negativo,alcançar,atingir,obter,conseguir
valor,explicar,esclarecer,detalhar,descrever
conquista,melhorar,otimizar,aperfeiçoar,reforçar
explicação,mudar,alterar,transformar,modificar
melhoria,causa,motivo,origem,razão
mudança,efeito,resultado,consequência,impacto
causa,rápido,ágil,veloz,acelerado
efeito,lento,devagar,pausado,demorado
velocidade,novo,recente,moderno,atual
lentidão,velho,antigo,obsoleto,passado
novidade,expressão,manifestação,declaração,enunciado
antiguidade,conhecer,entender,compreender,saber
forma,diferente,distinto,variado,diverso
expressivo,igual,semelhante,similar,equivalente
conhecimento,motivar,estimular,incentivar,animar
diferença,fim,conclusão,término,desfecho
igualdade,fazer,realizar,executar,desenvolver
motivação,dizer,mencionar,expressar,afirmar
feliz,alegre,contente,satisfeito,radiante,feliz
triste,melancólico,deprimido,abatido,infeliz,triste
rápido,veloz,ágil,depressa,célere,rápido
lento,devagar,demorado,moroso,vagaroso,lento
bonito,belo,atraente,encantador,formoso,bonito
feio,horrível,desagradável,espantoso,repulsivo,feio
grande,enorme,imenso,gigante,vasto,grande
pequeno,minúsculo,pequenino,reduzido,diminuto,pequeno
inteligente,esperto,sagaz,perspicaz,brilhante,inteligente
tolo,tolo,ignorante,estúpido,imbecil
forte,robusto,resistente,potente,musculoso,forte
fraco,débil,vulnerável,frágil,endeble,fraco
alto,elevado,erguido,grande,torreado,alto
baixo,pequeno,curtinho,raso,reduzido,baixo
gentil,amável,cortês,educado,agradável,gentil
rude,grosseiro,mal-educado,bruto,antipático,rude
quente,caloroso,tórrido,aquecido,escaldante,quente
frio,gelado,gélido,congelado,fresco,frio
escuro,sombrio,tenebroso,obscuro,negro,escuro
claro,luminoso,brilhante,iluminado,nítido,claro
famoso,conhecido,popular,renomado,célebre,famoso
desconhecido,anônimo,ignorado,obscuro,inédito,desconhecido
caro,dispendioso,custoso,elevado,valioso,caro
barato,econômico,acessível,razoável,em conta,barato
barulhento,ruidoso,alvoroçado,estrepitoso,estrondoso,barulhento
silencioso,quieto,calado,tranquilo,mudo,silencioso
difícil,complicado,árduo,laborioso,espinhoso,difícil
fácil,simples,descomplicado,tranquilo,acessível,fácil
bravo,nervoso,irritado,furioso,zangado,bravo
bonzinho,legal,gentil,simpático,agradável,bonzinho
ruim,péssimo,horrível,terrível,mal,ruim
bom,ótimo,excelente,maravilhoso,agradável,bom
velho,idoso,antigo,veterano,ancião,velho
novo,recente,moderno,atual,inovador,novo
sujo,imundo,enlameado,manchado,lambuzado,sujo
limpo,asseado,higiênico,brilhante,lavado,limpo
corajoso,valente,destemido,intrépido,audacioso,corajoso
covarde,medroso,receoso,temeroso,frouxo,covarde
comprido,longo,alongado,estendido,extenso,comprido
curto,breve,reduzido,pequeno,conciso,curto
interessante,curioso,atrativo,cativante,instigante,interessante
chato,enfadonho,entediante,monótono,aborrecido,chato
gordo,obeso,forte,rechonchudo,cheinho,gordo
magro,esbelto,fino,seco,enxuto,magro
rico,afortunado,endinheirado,abastado,próspero,rico
pobre,necessitado,carente,humilde,desfavorecido,pobre
amizade,camaradagem,companheirismo,fraternidade,parceria,amizade
amor,afeto,carinho,paixão,apego,amor
ódio,raiva,rancor,antipatia,aversão,ódio
mentira,falsidade,engano,trapaça,embuste,mentira
verdade,fato,realidade,certeza,veracidade,verdade
trabalho,emprego,serviço,função,ocupação,trabalho
casa,lar,moradia,residência,habitação,casa
criança,menino,pequeno,garoto,infante,criança
mulher,dama,moça,fêmea,garota,mulher
homem,rapaz,varão,macho,cavalheiro,homem
dia,jornada,claro,manhã,amanhecer,dia
noite,escuridão,anoitecer,vespertina,madrugada,noite
água,líquido,hidrogênio,h2o,fluido,água
fogo,chama,incêndio,labareda,brasa,fogo
terra,solo,chão,terreno,planeta,terra
ar,brisa,vento,atmosfera,oxigênio,ar
céu,firmamento,paraíso,altura,abóbada,céu
inferno,hades,abismo,tártaro,submundo,inferno
perigoso,arriscado,ameaçador,risco,inseguro,perigoso
seguro,protegido,confiável,estável,firme,seguro
doente,enfermo,adoentado,mal,indisposto,doente
saudável,sadio,forte,robusto,bem,saudável
médico,doutor,clínico,especialista,sanador,médico
professor,mestre,educador,instrutor,docente,professor
estudante,aluno,discípulo,aprendiz,educando,estudante
escola,colégio,instituição,centro educativo,academia,escola
porque, já que, visto que, dado que, devido a que, porque
conector_união, e, além disso, também, igualmente, inclusive, mais, junto com, além de, com
